File Path,Line Number,Line Content,Match Type,Severity,Suggested Fix
dependency_report.json,66,"""PATH"": ""C:\\Users\\RobMo\\OneDrive\\Documents\\helios\\venv\\Scripts;C:\\Program Files\\NVIDIA GPU Computing Toolkit\\CUDA\\v12.8\\bin;C:\\Program Files\\NVIDIA GPU Computing Toolkit\\CUDA\\v12.8\\libnvvp;C:\\Users\\RobMo\\dev\\tools\\Scripts\\;C:\\Users\\RobMo\\dev\\tools\\;C:\\Windows\\system32;C:\\Windows;C:\\Windows\\System32\\Wbem;C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\;C:\\Windows\\System32\\OpenSSH\\;C:\\Program Files\\dotnet\\;C:\\Program Files (x86)\\NVIDIA Corporation\\PhysX\\Common;C:\\Program Files\\NVIDIA Corporation\\NVIDIA NvDLISR;C:\\ProgramData\\chocolatey\\bin;C:\\Program Files\\NVIDIA Corporation\\Nsight Compute 2025.1.0\\;C:\\Program Files\\NVIDIA Corporation\\NVIDIA app\\NvDLISR;C:\\Users\\RobMo\\dev\\tools\\Git\\cmd;C:\\Program Files\\Docker\\Docker\\resources\\bin;C:\\Users\\RobMo\\AppData\\Local\\Programs\\Python\\Python312\\Scripts\\;C:\\Users\\RobMo\\AppData\\Local\\Programs\\Python\\Python312\\;C:\\Users\\RobMo\\AppData\\Local\\Microsoft\\WindowsApps;C:\\Users\\RobMo\\.lmstudio\\bin;C:\\Users\\RobMo\\dev\\tools\\Microsoft VS Code\\bin;C:\\Users\\RobMo\\dev\\tools\\Git\\bin;C:\\Users\\RobMo\\dev\\tools\\Git\\cmd;C:\\Users\\RobMo\\AppData\\Roaming\\npm;C:\\Users\\RobMo\\AppData\\Roaming\\Python\\Python313\\Scripts;C:\\Users\\RobMo\\AppData\\Local\\Programs\\Ollama;C:\\Users\\RobMo\\dev\\tools;C:\\Users\\RobMo\\dev\\Microsoft VS Code\\bin;C:\\Users\\RobMo\\AppData\\Local\\Google\\Cloud SDK\\google-cloud-sdk\\bin;C:\\Users\\RobMo\\.dotnet\\tools;c:\\Users\\RobMo\\.vscode\\extensions\\ms-python.debugpy-2025.10.0-win32-x64\\bundled\\scripts\\noConfigScripts;c:\\Users\\RobMo\\AppData\\Roaming\\Code\\User\\globalStorage\\github.copilot-chat\\debugCommand"",",vscode_settings,INFO,Verify VS Code settings consistency
DEVELOPMENT_ISSUES_RESOLVED.md,92,"""python.defaultInterpreterPath"": ""./backend/venv/Scripts/python.exe"",",backend_venv,CRITICAL,Replace with root-level venv path
DEVELOPMENT_ISSUES_RESOLVED.md,92,"""python.defaultInterpreterPath"": ""./backend/venv/Scripts/python.exe"",",python_exe_backend,CRITICAL,Update to venv/Scripts/python.exe
DEVELOPMENT_ISSUES_RESOLVED.md,104,2. **`.vscode/settings.json`**,vscode_settings,INFO,Verify VS Code settings consistency
docker-compose.yml,16,- backend_logs:/app/logs,docker_references,INFO,Ensure Docker paths align with local development
docker-compose.yml,37,- backend_logs:/app/logs,docker_references,INFO,Ensure Docker paths align with local development
docker-compose.yml,81,- /app/node_modules,docker_references,INFO,Ensure Docker paths align with local development
ErrorReports.txt,53,C:\Users\RobMo\OneDrive\Documents\helios\backend\Dockerfile,hardcoded_paths,WARNING,Use relative paths or environment variables
ErrorReports.txt,58,C:\Users\RobMo\OneDrive\Documents\helios\components\TrainingProgress.tsx,hardcoded_paths,WARNING,Use relative paths or environment variables
GEMINI_API_SETUP.md,6,1. Visit: https://aistudio.google.com/app/apikey,docker_references,INFO,Ensure Docker paths align with local development
